	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
Glycolysis / Gluconeogenesis	0.763180286624811	2.72192247570648	0.724364165698466	NA	0.663637998061105	0.57484292087939	NA	0.826954602035719
Citrate cycle (TCA cycle)	0.814747654754979	2.03403366233091	0.850439196023469	1.25383906436853	0.891515418197221	0.55626471594759	0.811650275651175	0.787510012726123
Pentose phosphate pathway	0.618460563779005	2.27462429213718	0.665746723793529	1.27089600056806	0.763276066034383	0.668156911490525	NA	NA
Pentose and glucuronate interconversions	0.590047711715918	2.30425343572095	NA	1.29976067738229	0.657165432924884	0.606588904451387	0.470845685593131	NA
Fructose and mannose metabolism	0.666800492948126	2.23365440146707	1.48771133342784	NA	0.84063556477144	0.509743134093961	0.568479242732742	0.730034175630977
Galactose metabolism	0.823054390338658	1.572345420479	0.728364136421015	NA	NA	0.669805701587378	NA	NA
Ascorbate and aldarate metabolism	0.31587736728145	5.78132148065642	0.110951469858917	0.0571408145056359	NA	NA	0.0910939510449763	0.103666789717679
Starch and sucrose metabolism	1.29286422590982	NA	NA	NA	NA	0.784697947507945	NA	NA
Amino sugar and nucleotide sugar metabolism	0.807119763119119	1.47889184791556	1.18063341916302	1.12849735691329	0.896868269453642	0.755308254267088	0.762302019012694	NA
Pyruvate metabolism	0.90147766993607	2.01257735723799	1.19514747931055	NA	0.882834307055186	0.638883291996685	0.655300833350132	0.683135810302529
Glyoxylate and dicarboxylate metabolism	NA	1.73987600380066	1.13807694621695	1.15640228022974	0.847100732777341	0.435437995778442	NA	0.784900413193539
Propanoate metabolism	0.843557751229914	1.85165382730057	NA	1.24869270454567	NA	0.661638610410493	NA	0.72830296910867
Butanoate metabolism	1.11924252834088	1.26939826351821	NA	NA	0.741020386573335	1.07135072469137	0.840414538480642	NA
Inositol phosphate metabolism	NA	0.656145538771811	0.781360767004863	1.27354155641728	1.14822595738071	0.956683704932166	NA	NA
Oxidative phosphorylation	0.78093576212241	2.02631653896536	1.11532865842501	NA	0.796888385381306	0.564356763687526	0.802892191498271	0.90168230882513
Nitrogen metabolism	NA	NA	0.254745129027419	0.199696625454976	NA	NA	NA	0.131545644696156
Sulfur metabolism	0.745095516778008	1.38519608134384	0.826665001596755	NA	0.797710519628548	0.848371533297569	1.29331095130587	NA
Fatty acid biosynthesis	1.20157786212639	0.91133830457472	0.781982692609608	NA	NA	0.842577436415619	NA	1.38384906374803
Fatty acid elongation	0.756295212733848	1.80137807667101	0.742285401707809	1.25239606696817	NA	0.776097011459113	0.74997415480527	NA
Fatty acid degradation	0.832040746880571	1.26703132823918	1.1111562297819	NA	0.799317603378931	0.847448048274433	NA	1.25687987559276
Synthesis and degradation of ketone bodies	1.36070769752634	1.58162243430449	0.645145808974087	1.23389327671829	NA	0.833353455234882	0.533857904153304	0.759495461266216
Steroid biosynthesis	0.651853026678196	2.39359998181069	NA	0.802089510677609	0.635052841110148	0.842488018331496	NA	0.726996163970473
Primary bile acid biosynthesis	1.16004594937073	NA	0.684492234020161	1.30904685393657	1.19929327159229	0.578777257977809	NA	NA
Steroid hormone biosynthesis	NA	1.75282084162943	NA	0.631885882262505	NA	NA	0.596416408493472	NA
Glycerolipid metabolism	0.906406621015279	0.65961135232871	NA	NA	1.11308518465257	1.1565044484426	NA	NA
Glycerophospholipid metabolism	0.774314970472801	NA	0.822883734445134	1.4142393163603	1.14096361851518	0.763699633616535	NA	1.12926183744393
Ether lipid metabolism	0.887715037912952	0.566510705298799	NA	NA	NA	NA	NA	1.41608752056861
Sphingolipid metabolism	NA	0.696262796593083	NA	1.13772052792061	NA	NA	NA	1.15812724972199
Arachidonic acid metabolism	0.772205052122204	1.91717679772386	0.853035972589081	0.822844671675159	0.883148872917093	0.909409951072619	NA	0.751406835906227
Linoleic acid metabolism	NA	1.96438871163933	NA	NA	NA	NA	NA	NA
alpha-Linolenic acid metabolism	0.801222572818994	NA	NA	NA	0.797149797473441	NA	NA	NA
Biosynthesis of unsaturated fatty acids	0.809204388733542	1.87921620212507	0.599048394796471	1.48039593228907	0.66447492481794	0.713323736001626	0.546543425160965	1.30779299607531
Purine metabolism	0.91425223394595	1.41351517695708	0.882117744013648	1.11507449927834	0.881376843958445	0.846597419385174	NA	0.935043338653852
Pyrimidine metabolism	0.859545826457053	1.45894749859356	0.803486573425366	1.12508068480519	NA	0.797429443518096	NA	NA
Alanine, aspartate and glutamate metabolism	0.847652503633837	2.16844696253347	0.72791903721674	0.721393852211978	1.20491634539568	0.538782909383904	NA	0.788748940973289
Glycine, serine and threonine metabolism	0.8365067206432	1.59633008463056	NA	NA	0.691858328900698	NA	NA	NA
Cysteine and methionine metabolism	0.786718473175978	1.48442935925181	0.893925765143693	1.39093130262274	0.897577762619001	0.757916540150786	NA	0.844969308204334
Valine, leucine and isoleucine degradation	0.886825232014031	1.83462670130369	NA	1.18830898910233	0.922226849740163	0.708441032453816	NA	0.701116888466711
Lysine degradation	NA	0.640694696625225	NA	1.21343566359248	1.20297543354857	NA	NA	NA
Arginine biosynthesis	0.713784017436971	2.71717732584877	NA	NA	0.785936649368173	0.522014736981683	0.697550480282011	0.661745574098531
Arginine and proline metabolism	NA	1.9712985180412	NA	NA	0.795624079036473	0.562149072433719	0.789406989969128	0.84901953257589
Histidine metabolism	NA	NA	NA	NA	NA	0.681346899512261	NA	NA
Tyrosine metabolism	0.784644514930861	2.72202945864987	0.590872838640807	NA	0.616419906834577	0.769189298831835	0.677534779474677	NA
Phenylalanine metabolism	NA	3.58022531357214	0.219102926739314	0.1900094662013	0.15363745447987	0.183068955793624	0.193659181925779	NA
Tryptophan metabolism	NA	0.785608802990761	NA	NA	0.630052169789265	NA	NA	NA
beta-Alanine metabolism	0.748979122401108	1.49628250533084	NA	1.18614411377172	NA	0.689046653752084	NA	0.77377221151302
Taurine and hypotaurine metabolism	1.40827216542949	0.344488988298828	NA	0.50413829800803	NA	1.3317051711812	NA	NA
Phosphonate and phosphinate metabolism	0.670491030356142	1.19798959112601	0.497288264394033	2.1149745895934	NA	0.528871659347646	NA	NA
Selenocompound metabolism	0.695029536654161	2.02958385631156	NA	NA	1.31274960715648	0.631042531094415	0.660364974614773	0.608765366192006
Glutathione metabolism	0.697490607139767	2.31223727016076	NA	NA	0.702635831580508	0.57569722937982	NA	NA
