	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
Glycolysis / Gluconeogenesis	0	0	0	0.1074	0	0	0.0124	0.0016
Citrate cycle (TCA cycle)	0	0	6e-04	0	8e-04	0	0.004	0
Pentose phosphate pathway	0	0	0	0	0	0	0.0634	0.0172
Pentose and glucuronate interconversions	0	0	0.1938	0.0018	0	0	0	0.0322
Fructose and mannose metabolism	0	0	0	0.364	0.0018	0	2e-04	0
Galactose metabolism	0.0038	0	0	0.0206	0.0242	0	0.6132	0.4198
Ascorbate and aldarate metabolism	0	0	0	0	0.0306	0.4848	0.0018	0
Starch and sucrose metabolism	0	0.0698	0.026	0.0608	0.0508	0	0.1138	0.012
Amino sugar and nucleotide sugar metabolism	0	0	0	0.0032	6e-04	0	0	0.4198
Pyruvate metabolism	0	0	8e-04	0.317	0.006	0	0	0
Glyoxylate and dicarboxylate metabolism	0.042	0	0.0074	0.008	0	0	0.0474	0
Propanoate metabolism	0	0	0.0112	0	0.0236	0	0.012	0
Butanoate metabolism	0	0	0.2366	0.0406	0	2e-04	0.0014	0.4048
Inositol phosphate metabolism	0.0878	0	0	0	0	0.0072	0.0122	0.1116
Oxidative phosphorylation	0	0	0.0038	0.395	0	0	4e-04	0.0094
Nitrogen metabolism	0.2432	0.0956	0	0	0.2252	0.017	0.3606	0
Sulfur metabolism	0	0	0.0046	0.0686	0	0	0.0082	0.3882
Fatty acid biosynthesis	0	0.0092	0.0098	0.2948	0.2952	2e-04	0.2026	6e-04
Fatty acid elongation	0	0	0	0	0.0164	0	0.0014	0.4262
Fatty acid degradation	0	0	6e-04	0.0418	0	0	0.197	0
Synthesis and degradation of ketone bodies	0	0	0	0.0024	0.1718	0	0	0
Steroid biosynthesis	0	0	0.0158	0.0062	0	0	0.0278	0
Primary bile acid biosynthesis	0.0022	0.252	0	0.0026	0.0062	0	0.3754	0.0558
Steroid hormone biosynthesis	0.0234	0	0.2712	8e-04	0.1738	0.3226	0.0022	0.1566
Glycerolipid metabolism	0	0	0.388	0.0282	0.0042	0	0.1056	0.3596
Glycerophospholipid metabolism	0	0.5038	0	0	0	0	0.2564	0.0012
Ether lipid metabolism	0	0	0.0676	0.0686	0.484	0.1544	0.109	0
Sphingolipid metabolism	0.0138	0	0.2728	0.0026	0.301	0.35	0.2104	4e-04
Arachidonic acid metabolism	0	0	0.0056	0.0036	0.0052	8e-04	0.0806	0
