	B cell	T cell	Malignant	CAF	Macrophage	Endothelial	NK
Glycolysis / Gluconeogenesis	0.840916541137884	0.826140390837993	1.16827715791865	1.12551903925462	1.33138103135104	0.828366061463692	0.879399778036118
Citrate cycle (TCA cycle)	0.853381191668526	0.799271230461429	1.13215570975775	1.2123389626953	1.20433027660462	0.910992840619835	0.887529788192535
Pentose phosphate pathway	0.651581808384285	0.740774710365575	1.1279817542098	1.43080091408503	1.42344960503075	0.901622572288523	0.723788635636041
Pentose and glucuronate interconversions	0.530632581996171	0.627348256321401	1.50301474172869	0.969968826470322	1.64019755265998	0.939244244025054	0.789593796798378
Fructose and mannose metabolism	0.530836510534127	0.862519919944513	1.19149355456671	1.189806988404	1.46132472099772	0.894655494142879	0.869362811410054
Galactose metabolism	0.820953570184679	0.754914368012876	1.31884614267639	1.1582122422998	1.31497536208848	0.929187164498187	0.702911150239593
Ascorbate and aldarate metabolism	0.637686596559423	0.678300113580912	1.18992545873582	1.22404051142425	0.820895930280318	1.46960780928165	0.97954358013763
Starch and sucrose metabolism	0.96829182391196	0.843172138989383	1.14031405363966	1.27376265165499	1.04216665475818	0.936167365070802	0.796125311975026
Amino sugar and nucleotide sugar metabolism	0.647866726455711	0.661181332346416	1.26334677616074	1.52291934790726	1.27416967592987	0.922756412340686	0.707759728859322
Pyruvate metabolism	0.849536941917242	0.846904587024706	1.35430950109832	1.11322218814292	0.884215189275692	1.0095905219881	0.942221070553021
Glyoxylate and dicarboxylate metabolism	0.908404520296814	0.783374621479763	1.16158837731815	1.23295221379458	1.13051272633732	0.965946282580143	0.81722125819322
Propanoate metabolism	0.921442521776404	0.886566959311625	1.08094199810241	1.17239975100891	1.00052194094592	1.0283601816779	0.909766647176839
Butanoate metabolism	0.998370008332694	1.04215658264855	0.991993739124234	1.27103274783463	0.674112751584301	0.910655114167197	1.1116790563084
Inositol phosphate metabolism	0.839765760370328	1.02600586342437	0.995656424883976	0.929771543380201	1.02552509765697	1.10950965486764	1.07376565541651
Oxidative phosphorylation	0.775041593144309	0.725342302084224	1.2682513268755	1.06885493989814	1.43043018871854	0.927985450059733	0.804094199219558
Nitrogen metabolism	1.49699885359183	1.35626901602552	0.555702288648298	0.759362621745742	0.801798142754535	0.649090207084009	1.38077887015007
Sulfur metabolism	0.656003032390459	0.732013790466205	1.02312799925212	1.02177643593633	1.07490662464199	1.2982126064603	1.1939595108526
Fatty acid biosynthesis	0.764489461094606	0.928443693232309	1.10910566868715	1.08440764185135	0.988742244285932	1.00118909943782	1.12362219141084
Fatty acid elongation	0.486527660404694	0.690199719415217	1.37215597949938	1.05660420909257	1.26754889621108	1.21848883711451	0.90847469826255
Fatty acid degradation	0.813384921385254	0.848493833100808	0.85824100757054	1.09586917982977	1.23281757730512	1.08445225353536	1.06674122727315
Synthesis and degradation of ketone bodies	0.629373088093646	0.81420014161381	1.17854155118954	1.72096803833951	0.682321854580718	1.22995637944288	0.744638946739906
Steroid biosynthesis	0.756691780538712	0.829460188710081	1.48248571121251	1.51956608134649	0.913007738927737	0.731677934175998	0.767110565088469
Primary bile acid biosynthesis	0.588925679740169	0.685287124105753	0.998011039277447	0.895680891156478	1.5838131014496	1.57943032748872	0.66885183678183
Steroid hormone biosynthesis	0.567310117009145	0.704039151725558	1.26368258935432	1.10289509436086	0.994633506345724	1.19450480900234	1.17293473220206
Glycerolipid metabolism	0.909752895742282	0.996787027159211	0.966391625110467	0.823326132057708	0.889260161253007	1.02624410551537	1.38823805316196
Glycerophospholipid metabolism	0.808715252097345	0.8654621844871	1.08423932495291	0.950376086356623	1.14770962606079	1.22963087677243	0.913866649272801
Ether lipid metabolism	0.901939294228541	0.990712142322372	1.07447455064326	0.951704751580734	1.00219492166656	1.07491143469998	1.00406290485855
Sphingolipid metabolism	0.825896759443597	0.821841053988116	1.07056709293257	1.04509389259375	1.17582164587717	1.20175471299299	0.8590248421718
Arachidonic acid metabolism	0.857682387436074	0.690102831424502	0.896538995895689	1.48628802254782	1.25696314224684	1.3247770626267	0.487647557822377
Linoleic acid metabolism	1.03940016786845	1.27168274163694	0.846138439305289	1.08009876580437	0.928379302958166	1.22168697274758	0.612613609679209
alpha-Linolenic acid metabolism	0.742074976213489	1.0116662411933	1.06440812220212	0.926942327505262	1.51595685650479	1.28875847160348	0.45019300477756
Biosynthesis of unsaturated fatty acids	0.816027416328936	0.93591009261926	1.21984386374257	0.982819490358891	1.00848754867266	1.18126902843604	0.855642559841653
Purine metabolism	0.916448557183611	0.865115974331546	1.25963498979171	1.15239017873949	1.01409571769818	1.02247686777764	0.769837714477821
Pyrimidine metabolism	0.873323183737426	0.851862166731917	1.28979699817393	1.2119792511674	0.860876748331221	1.05649711884536	0.855664533012747
Alanine, aspartate and glutamate metabolism	0.835165082902221	0.815052130979164	1.44209803820361	1.45936741833264	0.610377649141086	1.2055201323499	0.632419548091379
Glycine, serine and threonine metabolism	0.893207702092892	0.808919967919329	1.12865785014979	1.39024485184897	0.872788807424339	1.08466930052298	0.821511520041699
Cysteine and methionine metabolism	0.773236285989071	0.840686119252758	1.06252084541387	1.26926800171618	1.01554772437117	0.934515039100516	1.10422598415644
Valine, leucine and isoleucine degradation	0.859911311301117	0.977552557274492	1.05211630753945	1.01733084727218	1.00900803042629	0.916711238753822	1.16736970743264
Valine, leucine and isoleucine biosynthesis	NA	NA	NA	NA	NA	NA	NA
Lysine degradation	1.21614986307575	1.02398711024816	0.855220959113948	0.850295995145115	0.714943626208041	0.986116529718534	1.35328591649046
Arginine biosynthesis	0.64739463728665	0.757304580103636	1.00129613431317	0.984470687198404	0.828090620405046	1.83092997223539	0.950513368457704
Arginine and proline metabolism	0.841652922684699	0.769652083480663	1.18984192860105	1.3560403803647	1.29542947395919	0.843379803939152	0.704003406970545
Histidine metabolism	0.660890874440944	0.596186988004702	1.20255524897057	0.785966118759235	1.56210055774937	1.2022691156262	0.990031096448981
Tyrosine metabolism	0.66255771935818	0.729653927650743	1.92875455566962	1.05676963561992	1.40338229507224	0.796562762695704	0.422319103933589
Phenylalanine metabolism	0.841260760880021	0.9652732967645	1.76261579816968	0.831216805366995	1.00808004361766	0.927312769867194	0.664240525333948
Tryptophan metabolism	1.06582245508395	1.00287084425892	0.963469813024053	0.929286271020778	1.19479310200466	1.00536187867122	0.838395635936412
Phenylalanine, tyrosine and tryptophan biosynthesis	0.971965644093848	1.41032859901405	1.13349307789468	0.793038214007047	0.791764484212487	1.1385741038316	0.760835876946287
beta-Alanine metabolism	0.723510166008854	0.66683958716964	1.30866472284888	1.15195436245478	1.1268863640176	1.04185925420993	0.980285543290314
Taurine and hypotaurine metabolism	1.11768846490925	1.30654429295174	0.816186233878363	0.660437588624879	1.22838763753825	1.30566408462926	0.565091697468261
Phosphonate and phosphinate metabolism	1.00969792688689	0.671536571595062	1.49439723168328	1.28407472978726	0.951712178271264	0.740450714884498	0.848130646891743
Selenocompound metabolism	0.98024987727978	1.01312393788627	1.03861052031598	1.17728085562037	0.762263581910229	0.993245128198394	1.03522609878898
D-Glutamine and D-glutamate metabolism	NA	NA	NA	NA	NA	NA	NA
D-Arginine and D-ornithine metabolism	NA	NA	NA	NA	NA	NA	NA
Glutathione metabolism	0.767424279451113	0.738652542433204	1.06554577991187	1.26073134031269	1.49652723545098	0.79928199288604	0.871836829554104
N-Glycan biosynthesis	0.716886288638562	0.804970494025065	1.20736625546466	1.23161328034797	1.17194505323262	1.07940792970526	0.787810698585859
Mucin type O-glycan biosynthesis	0.916366617820589	0.827847380084634	0.79101087720753	1.05121199550477	0.817870528785834	0.942013667633488	1.65367893296315
Mannose type O-glycan biosynthesis	0.936650354608542	0.879191839351992	1.03972892368783	1.02065736851487	0.792704795352909	1.12392302617915	1.2071436923047
Other types of O-glycan biosynthesis	0.870643766446993	1.01553798936391	0.834881482243434	1.24063800850966	0.768622089681613	1.42667945898603	0.842997204768361
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.486937717523369	0.902011014604484	0.939748989929958	1.58514939514171	0.864965004458897	1.46268335353254	0.758504524809043
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.452194614701486	0.482448320904745	1.14089336964622	2.000989707816	0.626122041980198	1.45978011946252	0.837571825488832
Glycosaminoglycan biosynthesis - keratan sulfate	0.9910769397112	1.24554795974419	0.822701385601206	0.894841120910935	0.872429347143861	0.891315619726244	1.28208762716237
Glycosaminoglycan degradation	0.558748765570713	0.588569104232098	1.06285857281178	1.31564951850102	1.64737690550477	1.0721991388437	0.754597994535924
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.794173503593	0.841758924877325	1.44243236422033	1.12058340270556	0.834972701927815	1.13873521539703	0.827343887278946
Glycosphingolipid biosynthesis - lacto and neolacto series	1.20461022619224	1.36660492514423	0.712960144595899	0.825196532742188	0.764568960708879	0.803245797994455	1.32281341262211
Glycosphingolipid biosynthesis - globo and isoglobo series	0.966049231386947	0.776556646294041	0.612113497291229	0.601183253887911	2.70287771716945	0.696328119057567	0.644891534912855
Glycosphingolipid biosynthesis - ganglio series	0.954243922542763	0.728201446415154	0.763057227868859	1.18160333170341	1.14762554514521	1.49676693303355	0.728501593291046
