B cell	T cell	Malignant	CAF	Macrophage	Endothelial	NK
Glycolysis / Gluconeogenesis	0.843801174504717	0.921656457314884	1.15820915350885	1.04767569030672	1.31036307353886	0.781332896635635	0.936961554190337
Citrate cycle (TCA cycle)	0.90472433241634	0.81266272678258	1.11847075005273	1.15864134848158	1.17779403198483	0.913402221750315	0.914304588531633
Pentose phosphate pathway	0.714835807520881	0.780340497825873	1.14953491626313	1.33740694885375	1.36795378051152	0.874850777996628	0.775077271028213
Pentose and glucuronate interconversions	0.723368955998149	0.748983214191248	1.31686014764635	1.04492672208397	1.4424595973226	0.901024391860989	0.822376970896692
Fructose and mannose metabolism	0.589053300030437	0.868520230907572	1.25659774387651	1.18020680663582	1.41031145678534	0.87004176912027	0.825268692644059
Galactose metabolism	0.897831129125031	0.860012352405194	1.25795372677447	1.06383261213513	1.22722025915068	0.879024279943478	0.814125640466019
Ascorbate and aldarate metabolism	0.547582301433482	0.613600141966295	1.12191089184273	2.44283234800993	0.898084788495573	0.789431183889225	0.586558344362765
Starch and sucrose metabolism	0.932390228857177	0.864516373447036	1.16485949392763	1.2544448506225	1.04952985248773	0.871190170801315	0.863069029856609
Amino sugar and nucleotide sugar metabolism	0.667703065868016	0.675952728929377	1.2724925902521	1.52447163784683	1.24431128189706	0.873421712962783	0.741646982243837
Pyruvate metabolism	0.907667485104277	0.85954116180603	1.34798704264898	1.08315558196758	0.881123060061352	0.97663471301222	0.943890955399563
Glyoxylate and dicarboxylate metabolism	0.951683022251279	0.780523651355437	1.16048436786819	1.22618811251738	1.09841658737258	0.964098073033456	0.818606185601689
Propanoate metabolism	0.946111123758408	0.890420179897355	1.08791911077185	1.11580465530109	1.0315294895739	0.996505633463986	0.931709807233412
Butanoate metabolism	0.934263752200806	1.01585771288895	1.02249049467658	1.25165204595682	0.712513621639057	0.909799009875651	1.15342336276213
Inositol phosphate metabolism	0.909820063175711	0.98829273807479	1.04062590872624	0.962113037865618	0.928247150049429	1.1386982721075	1.03220283000071
Oxidative phosphorylation	0.847168896321913	0.75018287149867	1.23753197333539	1.06414540429314	1.38522720581719	0.936146888188469	0.779596760545224
Nitrogen metabolism	1.3847093553053	1.32928101509452	0.63736085448136	0.786812296322387	0.844259462985092	0.814542306416357	1.20303470939499
Sulfur metabolism	0.592756310268113	0.766029372909649	1.02529614941121	1.05126000388413	1.02919905804422	1.36245399197613	1.17300511350655
Fatty acid biosynthesis	0.680999144002296	0.909926078812551	1.69992000427866	1.01562448917621	0.781187984649744	0.81393271445985	1.09840958462068
Fatty acid elongation	0.614504369860551	0.719722736325396	1.29549166250622	1.05821658520132	1.2124606276616	1.20007964296342	0.899524375481501
Fatty acid degradation	0.847158856825159	0.859728513515123	0.849742207936044	1.0974590568446	1.2078124079074	1.03037573640041	1.10772322057126
Synthesis and degradation of ketone bodies	0.638721596096562	0.803217395416407	1.26427812765806	1.68623319398587	0.68695817958109	1.17175171801849	0.748839789243522
Steroid biosynthesis	0.715855676519066	0.797619342634774	1.45489632961775	1.58413774774907	0.910788888050935	0.731990311367602	0.804711704060796
Primary bile acid biosynthesis	0.738913308531502	0.77241744914975	1.07794915111271	0.94277576913964	1.40872929838458	1.29033607996192	0.768878943719889
Steroid hormone biosynthesis	0.860725710967887	0.909922060607062	1.01269619154643	0.909571461564847	1.04373020446161	1.17837781758594	1.08497655326623
Glycerolipid metabolism	0.928656726296502	1.00950410911977	0.940895073691465	0.906221218653331	0.91508378723911	1.01424515167615	1.28539393332368
Glycerophospholipid metabolism	0.83357568171053	0.878056531205605	1.06462385797615	0.962468048717199	1.19785677244858	1.15991910085966	0.903500007082278
Ether lipid metabolism	0.891449201677087	0.953233760958331	0.968296071390244	0.893897498088603	0.934757772955652	1.39025241506161	0.968113279868474
Sphingolipid metabolism	0.815763604715056	0.820323496631837	1.04384423265185	1.03737698879738	1.24681465510417	1.15315229196473	0.882724730134975
Arachidonic acid metabolism	0.990961926402552	0.776894797809973	0.929839168373582	1.44806729209627	1.04727084597018	1.11396846840609	0.692997500941345
Linoleic acid metabolism	1.98784069177351	1.32095118463515	0.661471953135127	0.61468215287126	0.800780522673482	0.768192231287796	0.846081263623674
alpha-Linolenic acid metabolism	0.902858865012415	1.18288008740002	1.01843681699255	0.882837184331571	1.2623008407271	1.20291423936849	0.547771966167858
Biosynthesis of unsaturated fatty acids	0.791743360642733	0.949859341061183	1.21257110758113	0.984733448148882	0.981369586845155	1.21079367047453	0.868929485246383
Purine metabolism	0.967839307976312	0.8890359141298	1.28233062619494	1.09242056149493	0.938291863412496	1.01846484824555	0.811616878545969
Pyrimidine metabolism	0.907097649223487	0.855505163753251	1.32151436802106	1.15056346919887	0.862397328545182	1.06294694638806	0.839975074870084
Alanine, aspartate and glutamate metabolism	0.97435935402866	0.963908477805388	1.38472823549397	1.27184616667246	0.629441096735772	1.09868443664769	0.677032232616062
Glycine, serine and threonine metabolism	0.815747117200079	0.815855180128386	1.39963328954238	1.39461231038326	0.797713931233415	0.966523317465713	0.809914854046768
Cysteine and methionine metabolism	0.818793736964588	0.857714318874858	1.07248976513776	1.19776209400268	1.01484167495472	0.954144043099243	1.08425436696615
Valine, leucine and isoleucine degradation	0.879013466133474	0.971533787203624	1.073404930991	0.966024498086116	0.947126631696781	0.954659975810922	1.20823671007808
Valine, leucine and isoleucine biosynthesis	NA	NA	NA	NA	NA	NA	NA
Lysine degradation	1.13548165889421	0.987701806196445	1.0010076888673	0.880819955884882	0.78896213554286	0.931792381263491	1.27423437335082
Arginine biosynthesis	0.778225233734784	0.907188017781402	0.891949539721933	0.903259270652979	0.906385919765735	1.6059870867437	1.00700493159947
Arginine and proline metabolism	0.843915095364635	0.749327860610859	1.14917383326101	1.32377953915011	1.41136445832303	0.800315313371241	0.722123899919118
Histidine metabolism	0.667005283715187	0.544329597341257	1.29007646193583	0.928581599130986	1.41791078143098	1.27411965617519	0.877976620270572
Tyrosine metabolism	0.655745404715407	0.726264446506561	1.9818997655459	1.01083005756149	1.33844463807223	0.842620090404443	0.444195597193966
Phenylalanine metabolism	0.855918922016072	0.945782941232397	1.77942125460126	0.802789115491418	0.992757219290058	0.939276879364971	0.684053668003828
Tryptophan metabolism	1.07685919366384	0.92711928952919	0.887600871314446	0.775108473665569	1.72545919939159	0.914816462071592	0.693036510363768
Phenylalanine, tyrosine and tryptophan biosynthesis	1.04109534108072	1.34052070182132	1.15923347516963	0.840404020773816	0.73268711623854	1.14219406455556	0.743865280360409
beta-Alanine metabolism	0.769577762448473	0.662464259212037	1.34590373020197	1.11843061880657	1.20319425293777	0.947127433408172	0.953301942985008
Taurine and hypotaurine metabolism	1.05948267562134	1.20869823978192	0.833312165099246	0.630798906701462	1.14335544973432	1.28768027562457	0.836672287437146
Phosphonate and phosphinate metabolism	1.08865399588258	0.882693540010965	1.39868868395034	1.13195204511767	0.961794734106583	0.696491510753574	0.839725490178294
Selenocompound metabolism	0.949798535906497	0.967677294486399	1.07998533874186	1.19772070443307	0.771188608308488	0.954200149417889	1.07942936870579
D-Glutamine and D-glutamate metabolism	NA	NA	NA	NA	NA	NA	NA
D-Arginine and D-ornithine metabolism	NA	NA	NA	NA	NA	NA	NA
Glutathione metabolism	0.785609885960267	0.749133673696676	1.03690884177561	1.18803742611693	1.43792462356025	0.957512122805732	0.844873426084536
N-Glycan biosynthesis	0.758914092878912	0.82511149797353	1.21361190939969	1.22422921353805	1.09300715408193	1.10479346141235	0.780332670715538
Mucin type O-glycan biosynthesis	0.929662722720163	0.829032069503282	0.693413675620544	1.06934589591834	0.996100714100479	0.861634489768207	1.62081043236899
Mannose type O-glycan biosynthesis	0.927308706435726	0.968295003302616	0.977411141755179	1.02738705413229	0.942139703554345	1.05675191799985	1.10070647281999
Other types of O-glycan biosynthesis	0.855288719931918	0.986328189930717	0.906894270186378	1.40360294615727	0.792247198915378	1.26285176089506	0.792786913983287
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.495410502172201	0.875027444332192	0.989085100754903	1.58382416468614	0.898141354002359	1.40359492017465	0.754916513877564
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.684450956947326	0.687215874513076	0.970455960592995	1.78072151865046	0.641729424806135	1.50959989091783	0.725826373572184
Glycosaminoglycan biosynthesis - keratan sulfate	1.01078305309759	1.12952467730238	0.827437782344516	0.890264762100872	0.905827290762502	1.11599583449993	1.12016659989222
Glycosaminoglycan degradation	0.634064354690527	0.811043956145758	0.945370310305395	1.08571190350889	1.60712327639257	1.10815710635325	0.808529092603612
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.775952633445452	0.823074066937543	1.42547695087378	1.06510989112643	0.933472102185486	1.12723740505409	0.84967695037722
Glycosphingolipid biosynthesis - lacto and neolacto series	0.878548167879604	1.09913949688519	1.3828221669055	0.851745747504817	1.06651572382185	0.879546963109857	0.84168173389318
Glycosphingolipid biosynthesis - globo and isoglobo series	0.909639505439477	0.965487997887507	0.853667065339276	0.68859049146312	2.04875591009288	0.823715339025395	0.710143690752341
Glycosphingolipid biosynthesis - ganglio series	0.967873108248823	0.73926875192544	0.778865914602549	1.31701795318711	1.08438212963576	1.38895068076715	0.723641461633163
Other glycan degradation	0.66231918689699	0.687639163365546	1.30832098753476	0.794974199115659	1.64212186992914	0.953457501379496	0.951167091778413
Thiamine metabolism	0.95804288597252	0.91106356841983	1.21493008421696	1.01899676739382	0.996507689277349	1.0437799562752	0.856679048444318
