	B cell	T cell	Malignant	CAF	Macrophage	Endothelial	NK
Glycolysis / Gluconeogenesis	0.843801174504717	0.921656457314884	1.15820915350885	NA	1.31036307353886	0.781332896635635	NA
Citrate cycle (TCA cycle)	0.90472433241634	0.81266272678258	1.11847075005273	1.15864134848158	1.17779403198483	NA	NA
Pentose phosphate pathway	0.714835807520881	0.780340497825873	1.14953491626313	1.33740694885375	1.36795378051152	NA	0.775077271028213
Pentose and glucuronate interconversions	0.723368955998149	0.748983214191248	1.31686014764635	NA	1.4424595973226	NA	NA
Fructose and mannose metabolism	0.589053300030437	0.868520230907572	1.25659774387651	NA	1.41031145678534	NA	NA
Galactose metabolism	0.897831129125031	0.860012352405194	1.25795372677447	NA	1.22722025915068	NA	NA
Ascorbate and aldarate metabolism	0.547582301433482	0.613600141966295	NA	2.44283234800993	NA	NA	0.586558344362765
Starch and sucrose metabolism	NA	0.864516373447036	1.16485949392763	NA	NA	NA	NA
Amino sugar and nucleotide sugar metabolism	0.667703065868016	0.675952728929377	1.2724925902521	1.52447163784683	1.24431128189706	NA	0.741646982243837
Pyruvate metabolism	0.907667485104277	0.85954116180603	1.34798704264898	NA	NA	NA	NA
Glyoxylate and dicarboxylate metabolism	NA	0.780523651355437	1.16048436786819	1.22618811251738	NA	NA	NA
Propanoate metabolism	NA	0.890420179897355	1.08791911077185	NA	NA	NA	NA
Butanoate metabolism	NA	NA	NA	NA	0.712513621639057	NA	NA
Inositol phosphate metabolism	0.909820063175711	NA	NA	NA	NA	NA	NA
Oxidative phosphorylation	0.847168896321913	0.75018287149867	1.23753197333539	NA	1.38522720581719	NA	0.779596760545224
Nitrogen metabolism	1.3847093553053	1.32928101509452	0.63736085448136	NA	NA	NA	NA
Sulfur metabolism	0.592756310268113	0.766029372909649	NA	NA	NA	NA	NA
Fatty acid biosynthesis	0.680999144002296	NA	1.69992000427866	NA	NA	NA	NA
Fatty acid elongation	0.614504369860551	0.719722736325396	1.29549166250622	NA	1.2124606276616	NA	NA
Fatty acid degradation	0.847158856825159	0.859728513515123	0.849742207936044	NA	1.2078124079074	NA	NA
Synthesis and degradation of ketone bodies	0.638721596096562	0.803217395416407	1.26427812765806	1.68623319398587	0.68695817958109	NA	NA
Steroid biosynthesis	0.715855676519066	0.797619342634774	1.45489632961775	1.58413774774907	NA	0.731990311367602	NA
Primary bile acid biosynthesis	0.738913308531502	0.77241744914975	NA	NA	1.40872929838458	NA	NA
Glycerolipid metabolism	0.928656726296502	NA	0.940895073691465	NA	NA	NA	1.28539393332368
Glycerophospholipid metabolism	0.83357568171053	0.878056531205605	NA	NA	1.19785677244858	1.15991910085966	NA
Ether lipid metabolism	0.891449201677087	NA	NA	NA	NA	1.39025241506161	NA
Sphingolipid metabolism	0.815763604715056	0.820323496631837	NA	NA	1.24681465510417	NA	NA
Arachidonic acid metabolism	NA	0.776894797809973	NA	1.44806729209627	NA	NA	0.692997500941345
Linoleic acid metabolism	1.98784069177351	NA	0.661471953135127	NA	NA	NA	NA
alpha-Linolenic acid metabolism	NA	1.18288008740002	NA	NA	1.2623008407271	NA	0.547771966167858
Biosynthesis of unsaturated fatty acids	0.791743360642733	NA	1.21257110758113	NA	NA	NA	NA
Purine metabolism	NA	0.8890359141298	1.28233062619494	NA	NA	NA	0.811616878545969
Pyrimidine metabolism	0.907097649223487	0.855505163753251	1.32151436802106	1.15056346919887	0.862397328545182	NA	0.839975074870084
Alanine, aspartate and glutamate metabolism	NA	NA	1.38472823549397	1.27184616667246	0.629441096735772	NA	0.677032232616062
Glycine, serine and threonine metabolism	0.815747117200079	0.815855180128386	1.39963328954238	1.39461231038326	0.797713931233415	NA	NA
Cysteine and methionine metabolism	0.818793736964588	0.857714318874858	1.07248976513776	1.19776209400268	NA	NA	NA
Valine, leucine and isoleucine degradation	0.879013466133474	NA	NA	NA	NA	NA	1.20823671007808
Lysine degradation	1.13548165889421	NA	NA	NA	0.78896213554286	NA	1.27423437335082
Arginine biosynthesis	0.778225233734784	NA	0.891949539721933	NA	NA	1.6059870867437	NA
Arginine and proline metabolism	0.843915095364635	0.749327860610859	1.14917383326101	1.32377953915011	1.41136445832303	0.800315313371241	0.722123899919118
Histidine metabolism	0.667005283715187	0.544329597341257	1.29007646193583	NA	1.41791078143098	1.27411965617519	NA
Tyrosine metabolism	0.655745404715407	0.726264446506561	1.9818997655459	NA	1.33844463807223	NA	0.444195597193966
Phenylalanine metabolism	0.855918922016072	NA	1.77942125460126	NA	NA	NA	0.684053668003828
Tryptophan metabolism	NA	NA	NA	NA	1.72545919939159	NA	0.693036510363768
Phenylalanine, tyrosine and tryptophan biosynthesis	NA	1.34052070182132	1.15923347516963	NA	0.73268711623854	NA	NA
beta-Alanine metabolism	0.769577762448473	0.662464259212037	1.34590373020197	NA	1.20319425293777	NA	NA
Phosphonate and phosphinate metabolism	NA	0.882693540010965	1.39868868395034	NA	NA	NA	NA
Glutathione metabolism	0.785609885960267	0.749133673696676	NA	1.18803742611693	1.43792462356025	NA	NA
N-Glycan biosynthesis	0.758914092878912	0.82511149797353	1.21361190939969	1.22422921353805	NA	NA	0.780332670715538
Mucin type O-glycan biosynthesis	NA	0.829032069503282	0.693413675620544	NA	NA	NA	1.62081043236899
Other types of O-glycan biosynthesis	0.855288719931918	NA	0.906894270186378	1.40360294615727	0.792247198915378	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.495410502172201	NA	NA	1.58382416468614	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.684450956947326	0.687215874513076	NA	1.78072151865046	0.641729424806135	1.50959989091783	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	1.12952467730238	0.827437782344516	NA	NA	NA	NA
Glycosaminoglycan degradation	0.634064354690527	0.811043956145758	NA	NA	1.60712327639257	NA	NA
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.775952633445452	0.823074066937543	1.42547695087378	NA	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	0.878548167879604	1.09913949688519	1.3828221669055	NA	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	0.853667065339276	0.68859049146312	2.04875591009288	NA	0.710143690752341
Glycosphingolipid biosynthesis - ganglio series	NA	0.73926875192544	0.778865914602549	NA	NA	NA	NA
Other glycan degradation	0.66231918689699	0.687639163365546	1.30832098753476	NA	1.64212186992914	NA	NA
Thiamine metabolism	NA	NA	1.21493008421696	NA	NA	NA	NA
Riboflavin metabolism	0.816144138395012	0.866425123439695	1.25153852224007	NA	NA	NA	NA
Nicotinate and nicotinamide metabolism	0.887372460124649	NA	0.871056594757438	NA	NA	1.25870771747597	NA
Pantothenate and CoA biosynthesis	NA	NA	1.14140734035607	NA	NA	NA	NA
Folate biosynthesis	0.796350932763288	0.784874512337158	1.47055871625028	1.37161231196333	NA	NA	0.553659375397486
