	B cell	T cell	Malignant	CAF	Macrophage	Endothelial	NK
Glycolysis / Gluconeogenesis	0	0	0	0.016	0	0.001	0.0388
Citrate cycle (TCA cycle)	0	0	0	8e-04	0	0.076	0.0512
Pentose phosphate pathway	0	0	2e-04	0	0	0.12	0.001
Pentose and glucuronate interconversions	0	0	0	0.426	0	0.3258	0.047
Fructose and mannose metabolism	0	0	0	0.0136	0	0.1284	0.1032
Galactose metabolism	0	0	0	0.0388	0	0.224	6e-04
Ascorbate and aldarate metabolism	0	0	8e-04	0.0606	0.038	0.0016	0.4758
Starch and sucrose metabolism	0.237	0	0.0112	0.0166	0.3204	0.3664	0.0718
Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0.1638	2e-04
Pyruvate metabolism	0	0	0	0.0746	0.0272	0.4138	0.3176
Glyoxylate and dicarboxylate metabolism	0.0018	0	0	0.0016	0.0118	0.3756	0.0166
Propanoate metabolism	0.0044	0	0.0234	0.0118	0.4906	0.307	0.1928
Butanoate metabolism	0.4258	0.2522	0.351	0.0164	0	0.2668	0.1704
Inositol phosphate metabolism	0	0.3608	0.2382	0.2234	0.3194	0.0398	0.1104
Oxidative phosphorylation	0	0	0	0.0606	0	0.062	0
Nitrogen metabolism	0	2e-04	0	0.1616	0.1266	0.0342	0.0786
Sulfur metabolism	0	0	0.4404	0.3802	0.2648	0.0312	0.1134
Fatty acid biosynthesis	0.001	0.0896	0.139	0.2714	0.4908	0.412	0.2172
Fatty acid elongation	0	0	0	0.2628	0.0016	0.0226	0.2462
Fatty acid degradation	0	0	0	0.0894	4e-04	0.1004	0.1624
Synthesis and degradation of ketone bodies	0	0	0.0016	0	2e-04	0.0448	0.0432
Steroid biosynthesis	0	0	0	0	0.1576	0.007	0.0296
Primary bile acid biosynthesis	0	0	0.4074	0.3402	4e-04	0.0046	0.032
Steroid hormone biosynthesis	0	0	0.0316	0.244	0.5514	0.1708	0.1858
Glycerolipid metabolism	0.0046	0.2876	0.0866	0.024	0.0328	0.3176	2e-04
Glycerophospholipid metabolism	0	0	0.0082	0.3024	0.0042	4e-04	0.1718
Ether lipid metabolism	0.0032	0.2922	0.0362	0.3292	0.4718	0.1812	0.4134
Sphingolipid metabolism	0	0	0.0738	0.2512	0.011	0.013	0.1036
Arachidonic acid metabolism	0.001	0	0.0052	0	0.0048	0.0056	0
Linoleic acid metabolism	0.3654	0.001	0.0136	0.2984	0.3238	0.124	0.0236
alpha-Linolenic acid metabolism	0	0.4878	0.2118	0.38	2e-04	0.045	0
Biosynthesis of unsaturated fatty acids	0	0.0326	0	0.509	0.4368	0.0536	0.1354
Purine metabolism	0	0	0	0.0018	0.3492	0.2548	0
Pyrimidine metabolism	0	0	0	6e-04	2e-04	0.1184	0.0146
Alanine, aspartate and glutamate metabolism	0	0	0	0	0	0.03	2e-04
Glycine, serine and threonine metabolism	0.0198	0	0.0236	0.0052	0.0874	0.2138	0.1046
Cysteine and methionine metabolism	0	0	0.0196	0	0.3612	0.1704	0.0492
Valine, leucine and isoleucine degradation	0	0.1064	0.0932	0.3382	0.4472	0.1674	0.0162
Valine, leucine and isoleucine biosynthesis	NA	NA	NA	NA	NA	NA	NA
Lysine degradation	0	0.3946	0	0.0558	0	0.5088	2e-04
Arginine biosynthesis	0	0	0.5652	0.5258	0.0736	0	0.4598
Arginine and proline metabolism	0	0	0	0	0	0.0142	0
Histidine metabolism	0	0	0	0.0282	0	0.0418	0.4898
Tyrosine metabolism	0	0	0	0.2966	0	0.031	0
Phenylalanine metabolism	0	0.144	0	0.0502	0.466	0.2436	2e-04
Tryptophan metabolism	0.0632	0.5556	0.085	0.2062	0.0012	0.4196	0.024
Phenylalanine, tyrosine and tryptophan biosynthesis	0.3302	0	0.0312	0.1056	0.0414	0.1864	0.0926
beta-Alanine metabolism	0	0	0	0.0814	0.0668	0.3076	0.5036
Taurine and hypotaurine metabolism	0.2292	0.0136	0.0296	0.1314	0.1614	0.1444	0.0564
Phosphonate and phosphinate metabolism	0.4806	0	0	0.0878	0.3918	0.1008	0.289
Selenocompound metabolism	0.305	0.5552	0.3818	0.0886	0.011	0.5454	0.3338
D-Glutamine and D-glutamate metabolism	NA	NA	NA	NA	NA	NA	NA
D-Arginine and D-ornithine metabolism	NA	NA	NA	NA	NA	NA	NA
Glutathione metabolism	0	0	0.0252	2e-04	0	8e-04	0.0524
N-Glycan biosynthesis	0	0	0	0	0	0.077	6e-04
Mucin type O-glycan biosynthesis	0.0766	2e-04	0	0.304	0.043	0.4142	0
Mannose type O-glycan biosynthesis	0.2016	0.0178	0.389	0.3892	0.0668	0.2182	0.1376
Other types of O-glycan biosynthesis	0.0174	0.5036	6e-04	0.0546	0.0088	0.0018	0.2032
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0	0.0472	0.1408	0.0046	0.1892	0.0152	0.1876
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0.0814	0	8e-04	0.0092	0.2794
Glycosaminoglycan biosynthesis - keratan sulfate	0.3896	0	0	0.1834	0.0476	0.1536	0.01
Glycosaminoglycan degradation	0	0	0.1308	0.006	0	0.2292	0.0256
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0.0442	0.0016	0.02	0.0192
Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0.0412	0	0.021	0.0046
Glycosphingolipid biosynthesis - globo and isoglobo series	0.3656	0	0	0.0028	0	0.038	0.0218
Glycosphingolipid biosynthesis - ganglio series	0.2624	0	0	0.1402	0.13	0.004	0.077
Other glycan degradation	0	0	0	0.0078	0	0.4876	0.393
Thiamine metabolism	0.1226	0.0012	6e-04	0.5104	0.2176	0.5062	0.3392
Riboflavin metabolism	0.0034	6e-04	0	0.113	0.0966	0.029	0.0292
Vitamin B6 metabolism	NA	NA	NA	NA	NA	NA	NA
Nicotinate and nicotinamide metabolism	0	0.002	0	0.045	0	0.1732	0.3962
Pantothenate and CoA biosynthesis	0.0738	0.288	0	0.4118	0.0416	0.1036	0.0746
Biotin metabolism	NA	NA	NA	NA	NA	NA	NA
Lipoic acid metabolism	NA	NA	NA	NA	NA	NA	NA
Folate biosynthesis	0	0	0	0	0.347	0.3774	0
One carbon pool by folate	0.0104	0	0	0.0396	0.2782	0.0652	0.3622
Retinol metabolism	0.0134	0.1764	0.0022	0.4596	0.2328	0.0392	0.0044
Porphyrin and chlorophyll metabolism	0	0	0.0024	0.034	8e-04	0.2864	0.2048
Ubiquinone and other terpenoid-quinone biosynthesis	8e-04	0.0126	0	0.146	0.1046	0.3136	0.0786
Terpenoid backbone biosynthesis	0	0	0	0	0.1526	0.1216	0.2462
Caffeine metabolism	NA	NA	NA	NA	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	0.0616	0.0338	0	0.3134	0.4078	0.0332	0.2092
Drug metabolism - cytochrome P450	0.0766	0	0.0098	0.0338	0.3972	0.5908	0.0226
Drug metabolism - other enzymes	0	0	0	0.0082	0.0718	0.0664	0.0186
