Sample ID	Sample Type
TCGA-QK-A8ZA-01A	Primary Tumor
TCGA-HD-8224-01A	Primary Tumor
TCGA-BA-A4IH-01A	Primary Tumor
TCGA-QK-AA3J-01A	Primary Tumor
TCGA-CN-A641-01A	Primary Tumor
TCGA-CR-7369-01A	Primary Tumor
TCGA-CQ-5334-01A	Primary Tumor
TCGA-D6-A6EK-01A	Primary Tumor
TCGA-CN-5358-01A	Primary Tumor
TCGA-CV-7429-01A	Primary Tumor
TCGA-CN-5373-01A	Primary Tumor
TCGA-CR-7395-01A	Primary Tumor
TCGA-BA-A6DJ-01A	Primary Tumor
TCGA-CR-6474-01A	Primary Tumor
TCGA-HD-A633-01A	Primary Tumor
TCGA-CV-7101-01A	Primary Tumor
TCGA-CN-4735-01A	Primary Tumor
TCGA-T2-A6WZ-01A	Primary Tumor
TCGA-CV-7438-11A	Solid Tissue Normal
TCGA-CQ-A4C7-01A	Primary Tumor
TCGA-CQ-5332-01A	Primary Tumor
TCGA-CV-7100-01A	Primary Tumor
TCGA-CQ-5331-01A	Primary Tumor
TCGA-QK-A6IF-01A	Primary Tumor
TCGA-CV-6940-01A	Primary Tumor
TCGA-CV-7183-11A	Solid Tissue Normal
TCGA-CV-7425-11A	Solid Tissue Normal
TCGA-CV-5971-01A	Primary Tumor
TCGA-D6-6516-01A	Primary Tumor
TCGA-4P-AA8J-01A	Primary Tumor
TCGA-CN-4726-01A	Primary Tumor
TCGA-CQ-6228-01A	Primary Tumor
TCGA-F7-A50G-01A	Primary Tumor
TCGA-CV-A45R-01A	Primary Tumor
TCGA-CN-6017-01A	Primary Tumor
TCGA-CV-7425-01A	Primary Tumor
TCGA-HD-A6I0-11A	Solid Tissue Normal
TCGA-CV-7434-01A	Primary Tumor
TCGA-CV-A6K2-01A	Primary Tumor
TCGA-CR-7367-01A	Primary Tumor
TCGA-CR-5250-01A	Primary Tumor
TCGA-CN-5356-01A	Primary Tumor
TCGA-CV-5979-01A	Primary Tumor
TCGA-D6-6827-01A	Primary Tumor
TCGA-CQ-6218-01A	Primary Tumor
TCGA-IQ-A61H-01A	Primary Tumor
TCGA-BA-A6DA-01A	Primary Tumor
TCGA-CN-4728-01A	Primary Tumor
TCGA-CN-5366-01A	Primary Tumor
TCGA-CV-7242-01A	Primary Tumor
TCGA-CV-6441-01A	Primary Tumor
TCGA-BA-A6DI-01A	Primary Tumor
TCGA-D6-A6EO-01A	Primary Tumor
TCGA-CN-5355-01A	Primary Tumor
TCGA-BA-4074-01A	Primary Tumor
TCGA-HD-A6HZ-01A	Primary Tumor
TCGA-P3-A5Q6-01A	Primary Tumor
TCGA-QK-A6IG-01A	Primary Tumor
TCGA-CV-7416-11A	Solid Tissue Normal
TCGA-CQ-7065-01A	Primary Tumor
TCGA-CQ-A4CD-01A	Primary Tumor
TCGA-CN-4733-01A	Primary Tumor
TCGA-CV-A45V-01A	Primary Tumor
TCGA-F7-A50J-01A	Primary Tumor
TCGA-BB-A5HY-01A	Primary Tumor
TCGA-CN-6018-01A	Primary Tumor
TCGA-CV-7177-01A	Primary Tumor
TCGA-MT-A51X-01A	Primary Tumor
TCGA-CN-6998-01A	Primary Tumor
TCGA-CV-A6JE-01A	Primary Tumor
TCGA-CV-7252-01A	Primary Tumor
TCGA-CV-6956-11A	Solid Tissue Normal
TCGA-CN-A63W-01A	Primary Tumor
TCGA-CV-6948-01A	Primary Tumor
TCGA-CV-5970-01A	Primary Tumor
TCGA-CV-7235-01A	Primary Tumor
TCGA-QK-A6VB-01A	Primary Tumor
TCGA-CV-6962-01A	Primary Tumor
TCGA-UF-A7JK-01A	Primary Tumor
TCGA-BA-5151-01A	Primary Tumor
TCGA-WA-A7GZ-01A	Primary Tumor
TCGA-CR-7397-01A	Primary Tumor
TCGA-BA-5557-01A	Primary Tumor
TCGA-CQ-5329-01A	Primary Tumor
TCGA-CN-5360-01A	Primary Tumor
TCGA-CV-5440-01A	Primary Tumor
TCGA-CV-7255-11A	Solid Tissue Normal
TCGA-CV-7250-11A	Solid Tissue Normal
TCGA-CQ-7063-01A	Primary Tumor
TCGA-BA-5558-01A	Primary Tumor
TCGA-D6-A6EP-01A	Primary Tumor
TCGA-CQ-5324-01A	Primary Tumor
TCGA-CV-A6K0-01B	Primary Tumor
TCGA-CV-7177-11A	Solid Tissue Normal
TCGA-CR-6478-01A	Primary Tumor
TCGA-CV-6954-01A	Primary Tumor
TCGA-BA-A6DD-01A	Primary Tumor
TCGA-IQ-7632-01A	Primary Tumor
TCGA-P3-A6T5-01A	Primary Tumor
TCGA-CV-7097-11A	Solid Tissue Normal
TCGA-CV-A464-01A	Primary Tumor
TCGA-CN-6994-01A	Primary Tumor
TCGA-CR-6473-01A	Primary Tumor
TCGA-F7-A622-01A	Primary Tumor
TCGA-T2-A6X2-01A	Primary Tumor
TCGA-CV-7235-11A	Solid Tissue Normal
TCGA-CN-6021-01A	Primary Tumor
TCGA-CV-7415-01A	Primary Tumor
TCGA-F7-A50I-01A	Primary Tumor
TCGA-HD-7831-01A	Primary Tumor
TCGA-H7-A6C4-11A	Solid Tissue Normal
TCGA-CN-6989-01A	Primary Tumor
TCGA-CV-6433-01A	Primary Tumor
TCGA-CV-7095-01A	Primary Tumor
TCGA-CN-4725-01A	Primary Tumor
TCGA-F7-8298-01A	Primary Tumor
TCGA-CV-A6JD-01A	Primary Tumor
TCGA-H7-8501-01A	Primary Tumor
TCGA-CR-7372-01A	Primary Tumor
TCGA-HL-7533-01A	Primary Tumor
TCGA-CV-6961-11A	Solid Tissue Normal
TCGA-CV-A6JN-01A	Primary Tumor
TCGA-D6-A4Z9-01A	Primary Tumor
TCGA-P3-A5QA-01A	Primary Tumor
TCGA-CR-7392-01A	Primary Tumor
TCGA-CV-7434-11A	Solid Tissue Normal
TCGA-CV-7091-01A	Primary Tumor
TCGA-IQ-A61I-01A	Primary Tumor
TCGA-BA-A4II-01A	Primary Tumor
TCGA-HD-7754-01A	Primary Tumor
TCGA-CV-7247-01A	Primary Tumor
TCGA-WA-A7GZ-11A	Solid Tissue Normal
TCGA-CV-7424-11A	Solid Tissue Normal
TCGA-DQ-5629-01A	Primary Tumor
TCGA-CN-A49C-01A	Primary Tumor
TCGA-BB-4223-01A	Primary Tumor
TCGA-BA-A8YP-01A	Primary Tumor
TCGA-CV-A45Z-01A	Primary Tumor
TCGA-CV-6941-01A	Primary Tumor
TCGA-MT-A67F-01A	Primary Tumor
TCGA-BB-4228-01A	Primary Tumor
TCGA-CR-7391-01A	Primary Tumor
TCGA-CR-6482-01A	Primary Tumor
TCGA-IQ-A61J-01A	Primary Tumor
TCGA-BA-6869-01A	Primary Tumor
TCGA-CR-6471-01A	Primary Tumor
TCGA-CN-4730-01A	Primary Tumor
TCGA-BA-6868-01B	Primary Tumor
TCGA-CV-6934-11A	Solid Tissue Normal
TCGA-CV-A6JM-01A	Primary Tumor
TCGA-P3-A6T2-01A	Primary Tumor
TCGA-QK-AA3K-01A	Primary Tumor
TCGA-BA-6870-01A	Primary Tumor
TCGA-CQ-6227-01A	Primary Tumor
TCGA-IQ-7630-01A	Primary Tumor
TCGA-MZ-A5BI-01A	Primary Tumor
TCGA-CR-5249-01A	Primary Tumor
TCGA-CR-5248-01A	Primary Tumor
TCGA-CR-7370-01A	Primary Tumor
TCGA-BA-5555-01A	Primary Tumor
TCGA-CV-6943-11A	Solid Tissue Normal
TCGA-CV-6952-01A	Primary Tumor
TCGA-CV-7432-11A	Solid Tissue Normal
TCGA-BB-4225-01A	Primary Tumor
TCGA-QK-A8Z7-01A	Primary Tumor
TCGA-CV-5977-01A	Primary Tumor
TCGA-BA-4077-01B	Primary Tumor
TCGA-CN-6024-01A	Primary Tumor
TCGA-D6-A74Q-01A	Primary Tumor
TCGA-CQ-5330-01A	Primary Tumor
TCGA-CV-6938-01A	Primary Tumor
TCGA-D6-6517-01A	Primary Tumor
TCGA-CV-A461-01A	Primary Tumor
TCGA-CV-7253-01A	Primary Tumor
TCGA-CX-7086-01A	Primary Tumor
TCGA-CV-A6JT-01A	Primary Tumor
TCGA-KU-A66T-01A	Primary Tumor
TCGA-CR-6484-01A	Primary Tumor
TCGA-BA-6873-01A	Primary Tumor
TCGA-WA-A7H4-01A	Primary Tumor
TCGA-CR-6470-01A	Primary Tumor
TCGA-CR-7401-01A	Primary Tumor
TCGA-UF-A7JV-01A	Primary Tumor
TCGA-QK-A6IJ-01A	Primary Tumor
TCGA-BA-4075-01A	Primary Tumor
TCGA-HD-A634-01A	Primary Tumor
TCGA-CV-7446-01A	Primary Tumor
TCGA-F7-A61V-01A	Primary Tumor
TCGA-CQ-6220-01A	Primary Tumor
TCGA-CV-6953-01A	Primary Tumor
TCGA-CN-A6V7-01A	Primary Tumor
TCGA-CN-6995-01A	Primary Tumor
TCGA-CQ-A4CI-01A	Primary Tumor
TCGA-UF-A719-01A	Primary Tumor
TCGA-CV-5973-01A	Primary Tumor
TCGA-CV-A45P-01A	Primary Tumor
TCGA-D6-8568-01A	Primary Tumor
TCGA-QK-A64Z-01A	Primary Tumor
TCGA-CV-6939-01A	Primary Tumor
TCGA-CV-A45W-01A	Primary Tumor
TCGA-CV-6950-01A	Primary Tumor
TCGA-CV-7418-01A	Primary Tumor
TCGA-CN-6012-01A	Primary Tumor
TCGA-MT-A67D-01A	Primary Tumor
TCGA-CV-7411-01A	Primary Tumor
TCGA-F7-A623-01A	Primary Tumor
TCGA-CV-7407-01A	Primary Tumor
TCGA-CN-5365-01A	Primary Tumor
TCGA-CV-6935-11A	Solid Tissue Normal
TCGA-CV-7245-01A	Primary Tumor
TCGA-BB-8601-01A	Primary Tumor
TCGA-CR-7383-01A	Primary Tumor
TCGA-P3-A6T0-01A	Primary Tumor
TCGA-P3-A6T3-01A	Primary Tumor
TCGA-CN-A63T-01A	Primary Tumor
TCGA-CN-4727-01A	Primary Tumor
TCGA-CV-7248-01A	Primary Tumor
TCGA-P3-A5Q5-01A	Primary Tumor
TCGA-CV-5436-01A	Primary Tumor
TCGA-CR-7368-01A	Primary Tumor
TCGA-KU-A6H8-01A	Primary Tumor
TCGA-HD-7753-01A	Primary Tumor
TCGA-CQ-5327-01A	Primary Tumor
TCGA-P3-A6T8-01A	Primary Tumor
TCGA-CQ-5333-01A	Primary Tumor
TCGA-CN-4736-01A	Primary Tumor
TCGA-CQ-A4CE-01A	Primary Tumor
TCGA-CN-4739-01A	Primary Tumor
TCGA-UF-A71A-06A	Metastatic
TCGA-P3-A6SW-01A	Primary Tumor
TCGA-CQ-6221-01A	Primary Tumor
TCGA-CV-7568-01A	Primary Tumor
TCGA-HD-7832-01A	Primary Tumor
TCGA-CN-6011-01A	Primary Tumor
TCGA-DQ-5630-01A	Primary Tumor
TCGA-CV-7435-01A	Primary Tumor
TCGA-CN-4741-01A	Primary Tumor
TCGA-CV-A6JO-01B	Primary Tumor
TCGA-CN-6992-01A	Primary Tumor
TCGA-CV-6936-01A	Primary Tumor
TCGA-CN-4737-01A	Primary Tumor
TCGA-DQ-5624-01A	Primary Tumor
TCGA-CR-7398-01A	Primary Tumor
TCGA-CN-A63U-01A	Primary Tumor
TCGA-CN-6016-01A	Primary Tumor
TCGA-CV-6962-11A	Solid Tissue Normal
TCGA-CV-7406-11A	Solid Tissue Normal
TCGA-CV-7424-01A	Primary Tumor
TCGA-CV-A6JY-01A	Primary Tumor
TCGA-CV-7437-01A	Primary Tumor
TCGA-CR-7389-01A	Primary Tumor
TCGA-CV-7428-01A	Primary Tumor
TCGA-D6-A6EM-01A	Primary Tumor
TCGA-CN-5359-01A	Primary Tumor
TCGA-DQ-5625-01A	Primary Tumor
TCGA-H7-8502-01A	Primary Tumor
